TMI;BARRIO;DIRECCION;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARG;LAT;LONG
1286;NUEVA POMPEYA;QUILMES 436;QUILMES;436;NUEVA POMPEYA;COMUNA 4;1437;C1437DLJ;-34,64461058362050;-58,4173158880493000
1318;SAN NICOLAS;VIAMONTE 808;VIAMONTE;808;SAN NICOLAS;COMUNA 1;1053;C1053ABR;-34,60011427792480;-58,3783858841538000
1314;RECOLETA;AV. SANTA FE 1748;SANTA FE AV.;1748;RECOLETA;COMUNA 2;1060;C1060ABQ;-34,59592785220560;-58,3925838417798000
1291;PARQUE PATRICIOS;AV. CASEROS 2526;CASEROS AV.;2526;PARQUE PATRICIOS;COMUNA 4;1264;C1264AAS;-34,63577337416140;-58,3977958221768000
1304;BALVANERA;CORRIENTES 2937;CORRIENTES AV.;2937;BALVANERA;COMUNA 3;1193;C1193AAB;-34,60426315207610;-58,4070874106169000
1305;ALMAGRO;AV. RIVADAVIA 3883;RIVADAVIA AV.;3883;ALMAGRO;COMUNA 5;1204;C1204AAD;-34,61131058379370;-58,4207761759195000
1315;CABALLITO;AV. JOSE MARAA MORENO 121;MORENO, JOSE MARIA AV.;121;CABALLITO;COMUNA 6;1424;C1424AAB;-34,61972216553560;-58,4358404340970000
1316;FLORES;AV. SAN PEDRITO 60;SAN PEDRITO AV.;60;FLORES;COMUNA 7;1406;C1406EXN;-34,63149612912250;-58,4691693075662000
1292;PARQUE AVELLANEDA;REMEDIOS 3761;REMEDIOS;3761;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HJI;-34,64139747820640;-58,4766553939507000
1282;MATADEROS;AV. EVA PERON 5251;PERON, EVA AV.;5251;MATADEROS;COMUNA 9;1439;C1439BSD;-34,65983263421550;-58,4819912008332000
1284;VELEZ SARSFIELD;AV. SEGUROLA 726;SEGUROLA AV.;726;VELEZ SARSFIELD;COMUNA 10;1407;C1407ANN;-34,62825592988550;-58,4896025528124000
1313;PALERMO;AV. SANTA FE 3259;SANTA FE AV.;3259;PALERMO;COMUNA 14;1425;C1425BGH;-34,58829438977000;-58,4110473237169000
1289;BELGRANO;AV. JURAMENTO 2427;JURAMENTO AV.;2427;BELGRANO;COMUNA 13;1428;C1428DNO;-34,56222678231790;-58,4570958567666000
1295;VILLA URQUIZA;CONGRESO 4364;CONGRESO AV.;4364;VILLA URQUIZA;COMUNA 12;1430;C1430BAH;-34,56574158958670;-58,4823335479065000
1296;VILLA DEVOTO;AV. FRANCISCO BEIRO 3994;BEIRO, FRANCISCO AV.;3994;VILLA DEVOTO;COMUNA 11;1419;C1419HZO;-34,60363767690610;-58,5080983815965000
1283;LINIERS;LISANDRO DE LA TORRE 39;DE LA TORRE, LISANDRO;39;LINIERS;COMUNA 9;1408;C1408GTA;-34,63938065497630;-58,5212734084432000
